t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
11.5812,-0,0,-0,0.344073,0.110447,0,0.00920388,0.390084,0.0278029,0.11187,102.723,72.4794
11.6612,-0,0,-0,0.344073,0.110447,0,0.0184078,0.390084,0.0296311,0.107341,102.723,72.4794
11.7412,-0,0,-0,0.344073,0.110447,0,0.0107379,0.397898,0.0269072,0.113398,102.723,72.4794
11.8212,-0,0,-0,0.344073,0.110447,0,0.0107379,0.399923,0.0284956,0.111306,102.723,72.4794
11.9012,-0,0,-0,0.344073,0.110447,0,0.0107379,0.391531,0.0278209,0.111562,102.723,72.4794
11.9812,-0,0,-0,0.344073,0.110447,0,0.0107379,0.391821,0.0293428,0.115404,102.723,72.4794
12.0613,-0,0,-0,0.344073,0.110447,0,0.0107379,0.399923,0.0307896,0.111414,102.723,72.4794
12.1413,-0,0,-0,0.344073,0.110447,0,0.0107379,0.408315,0.0296816,0.112845,102.723,72.4794
12.2213,-0,0,-0,0.344073,0.110447,0,0.0107379,0.410051,0.0286705,0.115538,102.723,72.4794
12.3013,-0,0,-0,0.344073,0.110447,0,0.0107379,0.427993,0.0278209,0.113851,102.723,72.4794
12.3813,-0,0,-0,0.344073,0.118117,0,0.0107379,0.439568,0.0278029,0.115022,102.723,72.4794
12.4613,-0,0,-0,0.344073,0.110447,0,0.0107379,0.458378,0.0281603,0.11575,102.723,72.4794
12.5412,-0,0,-0,0.344073,0.110447,0,0.0107379,0.477477,0.0280179,0.113248,102.723,72.4794
12.6212,-0,0,-0,0.344073,0.110447,0,0.0107379,0.498023,0.027313,0.117835,102.723,72.4794
12.7013,-0,0,-0,0.344073,0.110447,0,0.0107379,0.519437,0.0287228,0.117192,102.723,72.4794
12.7812,-0,0,-0,0.344073,0.110447,0,0.0107379,0.520016,0.0280179,0.115784,102.723,72.4794
12.8612,-0,0,-0,0.344073,0.110447,0,0.0107379,0.523199,0.0262679,0.115113,102.723,72.4794
12.9412,-0,0,-0,0.344073,0.110447,0,0.0107379,0.547507,0.0273861,0.114481,102.723,72.4794
13.0212,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.026,0.11855,102.723,72.4794
13.1011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.542009,0.0286705,0.116039,102.723,72.4794
13.1812,-0,0,-0,0.344073,0.110447,0,0.0107379,0.539983,0.0290861,0.114495,102.723,72.4794
13.2612,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0257099,0.119369,102.723,72.4794
13.3412,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0267208,0.117004,102.723,72.4794
13.4211,-0,0,-0,0.344073,0.110447,0,0.0107379,0.540272,0.0250998,0.121577,102.723,72.4794
13.5012,-0,0,-0,0.344073,0.110447,0,0.0107379,0.539983,0.0267208,0.117796,102.723,72.4794
13.5812,-0,0,-0,0.344073,0.110447,0,0.0107379,0.539983,0.0275862,0.118246,102.723,72.4794
13.6612,-0,0,-0,0.344073,0.110447,0,0.0107379,0.549533,0.0278927,0.119311,102.723,72.4794
13.7411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0287228,0.118267,102.723,72.4794
13.8211,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0278927,0.120482,102.723,72.4794
13.9012,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0274955,0.115525,102.723,72.4794
13.9811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0331813,0.113706,102.723,72.4794
14.0611,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0323883,0.113389,102.723,72.4794
14.1411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.551558,0.032619,0.113609,102.723,72.4794
14.2211,-0,0,-0,0.344073,0.110447,0,0.0122718,0.550401,0.0369324,0.111946,102.723,72.4794
14.3011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.557925,0.0334365,0.115991,102.723,72.4794
14.3811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.559661,0.0348281,0.110648,102.723,72.4794
14.4612,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0367287,0.10825,102.723,72.4794
14.5411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0320312,0.113851,102.723,72.4794
14.6212,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0417373,0.101956,102.723,72.4794
14.7011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.558214,0.0369594,0.108356,102.723,72.4794
14.7811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0432782,0.104924,102.723,72.4794
14.8611,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.045618,0.0997848,102.723,72.4794
14.9411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0406079,0.105551,102.723,72.4794
15.0211,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.047,0.0956504,102.723,72.4794
15.1011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0438634,0.105669,102.723,72.4794
15.1811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0436921,0.102611,102.723,72.4794
15.2611,-0,0,-0,0.344073,0.111981,0,0.0107379,0.550111,0.0438406,0.103354,102.723,72.4794
15.3411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0393065,0.109243,102.723,72.4794
15.4212,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0474658,0.0998048,102.723,72.4794
15.5011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0478435,0.0970824,102.723,72.4794
15.5811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0502494,0.0994485,102.723,72.4794
15.6611,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0515752,0.0969588,102.723,72.4794
15.7411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0484252,0.099101,102.723,72.4794
15.8211,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0440908,0.107745,102.723,72.4794
15.9011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0505371,0.099925,102.723,72.4794
15.9811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550401,0.0417253,0.104082,102.723,72.4794
16.0611,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0445646,0.101139,102.723,72.4794
16.1411,-0,0,-0,0.344073,0.110447,0,0.0122718,0.550111,0.0452769,0.104857,102.723,72.4794
16.2212,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0423556,0.106799,102.723,72.4794
16.3011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0454863,0.101119,102.723,72.4794
16.3811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0395095,0.109827,102.723,72.4794
16.4611,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0433705,0.101853,102.723,72.4794
16.5411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.043852,0.102669,102.723,72.4794
16.6211,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.039975,0.111185,102.723,72.4794
16.7011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550401,0.0383275,0.109165,102.723,72.4794
16.781,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0380657,0.108434,102.723,72.4794
16.861,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0360694,0.110322,102.723,72.4794
16.9411,-0,0,-0,0.344073,0.110447,0,0.00920388,0.551848,0.0387943,0.108977,102.723,72.4794
17.021,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0369594,0.112503,102.723,72.4794
17.101,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0367831,0.108724,102.723,72.4794
17.181,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0359166,0.113327,102.723,72.4794
17.261,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.031496,0.116181,102.723,72.4794
17.3411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0321714,0.11245,102.723,72.4794
17.421,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.032078,0.114695,102.723,72.4794
17.501,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0302324,0.11652,102.723,72.4794
17.581,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0342053,0.115815,102.723,72.4794
17.6611,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0292233,0.117631,102.723,72.4794
17.7411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0302324,0.115274,102.723,72.4794
17.8212,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0294958,0.117745,102.723,72.4794
17.9011,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0288617,0.116533,102.723,72.4794
17.9811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.031,0.114652,102.723,72.4794
18.061,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0289137,0.119357,102.723,72.4794
18.1411,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0301496,0.115421,102.723,72.4794
18.221,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0283373,0.117949,102.723,72.4794
18.301,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0286705,0.116662,102.723,72.4794
18.3811,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0301496,0.115274,102.723,72.4794
18.461,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0274773,0.119243,102.723,72.4794
18.541,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0302324,0.115607,102.723,72.4794
18.621,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0293087,0.118381,102.723,72.4794
18.701,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0264197,0.11729,102.723,72.4794
18.781,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.028178,0.117869,102.723,72.4794
18.861,-0,0,-0,0.344073,0.110447,0,0.0107379,0.542009,0.0284605,0.121413,102.723,72.4794
18.941,-0,0,-0,0.344073,0.110447,0,0.0107379,0.549822,0.0290861,0.119512,102.723,72.4794
19.021,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0261725,0.118246,102.723,72.4794
19.101,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0261725,0.11863,102.723,72.4794
19.181,-0,0,-0,0.344073,0.110447,0,0.0107379,0.539983,0.0289482,0.117205,102.723,72.4794
19.261,-0,0,-0,0.344073,0.110447,0,0.0107379,0.539983,0.0277489,0.121029,102.723,72.4794
19.341,-0,0,-0,0.344073,0.110447,0,0.0107379,0.548086,0.0276586,0.120271,102.723,72.4794
19.4211,-0,0,-0,0.344073,0.110447,0,0.0107379,0.550111,0.0272947,0.11841,102.723,72.4794
