t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
10.3165,-0,0,-0,0.07466,-0.0107379,0,-0.00153398,0.20083,0.0262488,0.010247,102.723,96.1604
10.3645,-0,0,-0,0.128195,-0.0107379,0,-0,0.263915,0.0262488,0.0133417,102.723,91.4547
10.4125,-0,0,-0,0.184046,-0.0107379,0,-0.0076699,0.305007,0.025318,0.0161245,102.723,86.5455
10.4605,-0,0,-0,0.24742,-0.0107379,0,-0.00153398,0.364329,0.027,0.00812404,102.723,80.9751
10.5085,-0,0,-0,0.294589,-0.0107379,0,-0.00153398,0.395293,0.0249199,0.0144914,102.723,76.829
10.5565,-0,0,-0,0.346967,-0.0107379,0,-0.00920388,0.434938,0.0267021,0.191235,102.723,72.2251
10.6045,-0,0,-0,0.374747,-0.0107379,0,-0,0.465323,0.0244949,0.964855,102.723,69.7832
10.6525,-0,0,-0,0.395004,-0.0107379,0,-0,0.485001,0.0232809,1.82869,102.723,68.0027
10.7005,-0,0,-0,0.410341,-0.0107379,0,-0,0.517122,0.0274773,2.52431,102.723,66.6546
10.7485,-0,0,-0,0.41989,-0.0107379,0,-0,0.527829,0.0246171,3.16369,102.723,65.8152
10.7966,-0,0,-0,0.421048,-0.0107379,0,-0,0.549243,0.0263818,3.37803,102.723,65.7135
10.8445,-0,0,-0,0.421337,-0.0107379,0,-0.00153398,0.550111,0.0228473,3.35788,102.723,65.688
10.8925,-0,0,-0,0.421337,-0.0107379,0,-0,0.557925,0.0229347,3.33196,102.723,65.688
10.9405,-0,0,-0,0.421337,-0.0107379,0,-0,0.568053,0.0269444,3.31253,102.723,65.688
10.9885,-0,0,-0,0.421337,-0.0107379,0,-0,0.577603,0.024779,3.2942,102.723,65.688
11.0365,-0,0,-0,0.421337,-0.0107379,0,-0,0.579917,0.0229347,3.28074,102.723,65.688
11.0845,-0,0,-0,0.421337,-0.0107379,0,-0,0.579917,0.0229347,3.27277,102.723,65.688
11.1325,-0,0,-0,0.421337,-0.0107379,0,-0,0.572104,0.0266458,3.25996,102.723,65.688
11.1804,-0,0,-0,0.421337,-0.0107379,0,-0,0.570368,0.024779,3.25496,102.723,65.688
11.2284,-0,0,-0,0.421337,-0.0107379,0,-0,0.560529,0.0234947,3.248,102.723,65.688
11.2765,-0,0,-0,0.421337,-0.0107379,0,-0.00153398,0.558503,0.0241039,3.23831,102.723,65.688
11.3245,-0,0,-0,0.421337,-0.0107379,0,-0,0.551848,0.0229347,3.23303,102.723,65.688
11.3725,-0,0,-0,0.421337,-0.00153398,0,-0,0.550401,0.0234521,3.22779,102.723,65.688
11.4205,-0,0,-0,0.421337,-0.00920388,0,-0,0.550111,0.0220454,3.22631,102.723,65.688
11.4684,-0,0,-0,0.421337,-0.0107379,0,-0,0.533906,0.0234307,3.21825,102.723,65.688
11.5165,-0,0,-0,0.421337,-0.0107379,0,-0.0076699,0.538826,0.023388,3.21369,102.723,65.688
11.5645,-0,0,-0,0.421337,-0.0076699,0,-0,0.522331,0.0234307,3.20833,102.723,65.688
11.6125,-0,0,-0,0.421337,-0.00920388,0,-0,0.512492,0.0214009,3.20654,102.723,65.688
11.6605,-0,0,-0,0.421337,-0.00153398,0,-0,0.482975,0.0264764,3.20182,102.723,65.688
11.7084,-0,0,-0,0.421337,-0.00920388,0,-0,0.446513,0.0250799,3.19937,102.723,65.688
11.7564,-0,0,-0,0.421337,-0.0107379,0,-0,0.395582,0.0236008,3.19619,102.723,65.688
11.8044,-0,0,-0,0.421337,-0.0107379,0,-0,0.380535,0.0226716,3.19689,102.723,65.688
11.8524,-0,0,-0,0.406,-0.0107379,0,-0,0.372143,0.0230217,2.72321,102.723,67.0361
11.9004,-0,0,-0,0.386612,-0.0107379,0,-0,0.309347,0.0246779,1.85272,102.723,68.7403
11.9484,-0,0,-0,0.37359,-0.0076699,0,-0,0.266808,0.02502,1.1748,102.723,69.885
11.9964,-0,0,-0,0.325842,-0.00920388,0,-0,0.26131,0.0238956,0.560975,102.723,74.0819
12.0444,-0,0,-0,0.276647,-0.0107379,0,-0,0.25205,0.0224944,0.293738,102.723,78.406
12.0924,-0,0,-0,0.262178,-0.0107379,0,-0,0.250314,0.0250599,0.0619031,102.723,79.6778
12.1404,-0,0,-0,0.254654,-0.0107379,0,-0,0.230925,0.0264197,0.0483632,102.723,80.3392
12.1885,-0,0,-0,0.251471,-0.0107379,0,-0,0.230057,0.0255539,0.0453762,102.723,80.619
12.2364,-0,0,-0,0.235555,-0.0107379,0,-0,0.221954,0.025865,0.0438406,102.723,82.0179
12.2845,-0,0,-0,0.230346,-0.0107379,0,-0,0.229768,0.025671,0.0413521,102.723,82.4758
12.3324,-0,0,-0,0.224269,-0.0107379,0,-0,0.230057,0.02502,0.037921,102.723,83.0099
12.3804,-0,0,-0,0.227742,-0.0107379,0,-0,0.230057,0.0267208,0.0342345,102.723,82.7047
12.4285,-0,0,-0,0.230057,-0.0107379,0,-0,0.221954,0.0255734,0.0337787,102.723,82.5012
12.4764,-0,0,-0,0.229768,-0.0107379,0,0.0076699,0.220508,0.0277489,0.0338378,102.723,82.5267
12.5244,-0,0,-0,0.224269,-0.0107379,0,-0,0.210379,0.0263059,0.0322645,102.723,83.0099
12.5724,-0,0,-0,0.221376,-0.0107379,0,-0,0.21009,0.0257876,0.0264197,102.723,83.2643
12.6204,-0,0,-0,0.213273,-0.0107379,0,-0,0.217903,0.0309354,0.0271662,102.723,83.9765
12.6684,-0,0,-0,0.210379,-0.0107379,0,-0,0.228031,0.0275862,0.0304302,102.723,84.2309
12.7164,-0,0,-0,0.215588,-0.0107379,0,-0,0.30819,0.027313,0.027313,102.723,83.773
